Site;Date de relevé;Energie consommée (kWh);Date;PE(kg);Année;Mois;KWh/Kg
PTWE89;2023-01-18;5112.0;2023-01-18;335.1;2023;1;15.255147717099373
PTWE35;2023-01-19;43055.0;2023-01-19;14258.63;2023;1;3.0195748118858545
PTWE42 Andrézieux;2023-01-19;5830.0;2023-01-19;2519.4;2023;1;2.3140430261173295
PTWE49;;;2023-01-19;6386.951999999999;2023;1;
PTWE89;2023-01-19;3438.0;2023-01-19;;2023;1;
PTWE35;2023-01-20;35296.0;2023-01-20;12449.08;2023;1;2.835229591262969
PTWE42 Andrézieux;2023-01-20;3475.0;2023-01-20;3181.4;2023;1;1.0922864147859432
PTWE49;;;2023-01-20;6564.8;2023;1;
PTWE89;2023-01-20;833.0;2023-01-20;;2023;1;
PTWE35;2023-01-21;0.0;2023-01-21;;2023;1;
PTWE42 Andrézieux;2023-01-21;0.0;2023-01-21;;2023;1;
PTWE89;2023-01-21;0.0;2023-01-21;;2023;1;
PTWE35;2023-01-22;1963.0;2023-01-22;;2023;1;
PTWE42 Andrézieux;2023-01-22;618.0;2023-01-22;;2023;1;
PTWE89;2023-01-22;0.0;2023-01-22;;2023;1;
PTWE35;2023-01-23;46680.0;2023-01-23;12243.62;2023;1;3.8125979081350123
PTWE42 Andrézieux;2023-01-23;6495.0;2023-01-23;2382.6;2023;1;2.726013598589776
PTWE49;;;2023-01-23;6402.88;2023;1;
PTWE89;2023-01-23;3705.0;2023-01-23;;2023;1;
PTWE35;2023-01-24;45624.0;2023-01-24;11409.46;2023;1;3.998786971513113
PTWE42 Andrézieux;2023-01-24;5993.0;2023-01-24;2681.6;2023;1;2.234859785202864
PTWE49;;;2023-01-24;6891.719999999999;2023;1;
PTWE89;2023-01-24;3408.0;2023-01-24;9503.1;2023;1;0.3586198187959718
PTWE35;2023-01-25;47778.0;2023-01-25;13600.96;2023;1;3.5128402700985815
PTWE42 Andrézieux;2023-01-25;;2023-01-25;2812.6;2023;1;
PTWE49;;;2023-01-25;6473.984;2023;1;
PTWE89;2023-01-25;3883.0;2023-01-25;2640.0;2023;1;1.4708333333333334
PTWE35;2023-01-26;33109.0;2023-01-26;12397.76;2023;1;2.6705630694577085
PTWE42 Andrézieux;2023-01-26;;2023-01-26;2924.4;2023;1;
PTWE49;;;2023-01-26;7330.224;2023;1;
PTWE89;2023-01-26;3372.0;2023-01-26;1190.0;2023;1;2.8336134453781514
PTWE35;2023-01-27;449.0;2023-01-27;10448.52;2023;1;0.04297259324765613
PTWE42 Andrézieux;2023-01-27;;2023-01-27;2933.0;2023;1;
PTWE49;;;2023-01-27;7034.896000000001;2023;1;
PTWE89;2023-01-27;1951.0;2023-01-27;407.0;2023;1;4.7936117936117935
PTWE35;2023-01-28;0.0;2023-01-28;;2023;1;
PTWE42 Andrézieux;2023-01-28;;2023-01-28;1736.2;2023;1;
PTWE89;2023-01-28;0.0;2023-01-28;;2023;1;
PTWE35;2023-01-29;3142.0;2023-01-29;;2023;1;
PTWE42 Andrézieux;2023-01-29;;2023-01-29;;2023;1;
PTWE89;2023-01-29;0.0;2023-01-29;;2023;1;
PTWE35;2023-01-30;48221.0;2023-01-30;1380.72;2023;1;34.92453212816501
PTWE42 Andrézieux;2023-01-30;;2023-01-30;;2023;1;
PTWE89;2023-01-30;2869.0;2023-01-30;;2023;1;
PTWE35;2023-01-31;48490.0;2023-01-31;12146.91;2023;1;3.991961741710443
PTWE42 Andrézieux;2023-01-31;;2023-01-31;2375.4;2023;1;
PTWE49;;;2023-01-31;4206.4;2023;1;
PTWE89;2023-01-31;1527.0;2023-01-31;;2023;1;
PTWE35;2023-02-01;49601.0;2023-02-01;13378.869999999999;2023;2;3.7074132568744598
PTWE42 Andrézieux;2023-02-01;5357.0;2023-02-01;2779.0;2023;2;1.9276718243972653
