Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;6.0;26;F4B;0.0;3036.6
PTWE35;2023.0;6.0;26;M1;0.0;5476.16
PTWE35;2023.0;6.0;26;M2;0.0;9630.720000000001
PTWE35;2023.0;6.0;26;M3;0.0;8077.52
PTWE35;2023.0;6.0;26;M8;0.0;8679.576000000001
PTWE35;2023.0;6.0;26;RM2400;0.0;4260.8
PTWE35;2023.0;6.0;26;RM4500;0.0;2865.2799999999997
PTWE35;2023.0;7.0;27;F3B;0.0;1071.5
PTWE35;2023.0;7.0;27;F4B;0.0;3882.86
PTWE35;2023.0;7.0;27;FB;0.0;1368.0
PTWE35;2023.0;7.0;27;M1;0.0;15017.112000000001
PTWE35;2023.0;7.0;27;M2;0.0;14826.24
PTWE35;2023.0;7.0;27;M3;0.0;14828.880000000001
PTWE35;2023.0;7.0;27;M8;0.0;13052.528
PTWE35;2023.0;7.0;27;RM2400;0.0;5528.0
PTWE35;2023.0;7.0;27;RM4500;0.0;6473.28
PTWE35;2023.0;7.0;28;F4B;0.0;2137.35
PTWE35;2023.0;7.0;28;FB;0.0;628.0
PTWE35;2023.0;7.0;28;M1;0.0;6331.84
PTWE35;2023.0;7.0;28;M2;0.0;7349.76
PTWE35;2023.0;7.0;28;M3;0.0;6992.48
PTWE35;2023.0;7.0;28;M8;0.0;6250.200000000001
PTWE35;2023.0;7.0;28;RM2400;0.0;2505.0
PTWE35;2023.0;7.0;28;RM4500;0.0;4649.92
PTWE35;2023.0;7.0;29;F3B;0.0;1591.0
PTWE35;2023.0;7.0;29;F4B;0.0;3854.27
PTWE35;2023.0;7.0;29;FB;0.0;585.0
PTWE35;2023.0;7.0;29;M1;0.0;11486.64
PTWE35;2023.0;7.0;29;M2;0.0;11278.08
PTWE35;2023.0;7.0;29;M3;0.0;10729.84
PTWE35;2023.0;7.0;29;M8;0.0;9762.104
PTWE35;2023.0;7.0;29;RM2400;0.0;5085.0
PTWE35;2023.0;7.0;29;RM4500;0.0;8279.04
PTWE35;2023.0;7.0;30;F3B;0.0;2270.9
PTWE35;2023.0;7.0;30;F4B;0.0;3344.6
PTWE35;2023.0;7.0;30;FB;0.0;440.0
PTWE35;2023.0;7.0;30;M1;0.0;8905.2
PTWE35;2023.0;7.0;30;M2;0.0;10391.04
PTWE35;2023.0;7.0;30;M3;0.0;9403.68
PTWE35;2023.0;7.0;30;M8;0.0;8581.144
PTWE35;2023.0;7.0;30;RM2400;0.0;4929.5
PTWE35;2023.0;7.0;30;RM4500;0.0;7948.16
PTWE35;2023.0;7.0;31;F3B;0.0;319.0
