Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;42;10;F4B;0.0;3444.0
PTWE35;2023;42;10;FB;0.0;936.0
PTWE35;2023;42;10;M1;0.0;10130.56
PTWE35;2023;42;10;M2;0.0;9884.16
PTWE35;2023;42;10;M3;0.0;11453.2
PTWE35;2023;42;10;M8;0.0;10986.712
PTWE35;2023;42;10;RM2400;0.0;3225.0
PTWE35;2023;42;10;RM4500;0.0;6336.0
PTWE35;2023;43;10;F4B;0.0;3424.0
PTWE35;2023;43;10;FB;0.0;1081.0
PTWE35;2023;43;10;M1;0.0;11847.44
PTWE35;2023;43;10;M2;91787.85;10264.32
PTWE35;2023;43;10;M3;0.0;10970.96
PTWE35;2023;43;10;M8;0.0;9534.887999999999
PTWE35;2023;43;10;RM2400;0.0;2655.0
PTWE35;2023;43;10;RM4500;18202.800000000003;4762.5599999999995
PTWE35;2023;44;10;F3B;0.0;4.2
PTWE35;2023;44;10;F4B;0.0;1330.0
PTWE35;2023;44;10;FB;0.0;216.0
PTWE35;2023;44;10;M1;0.0;5694.52
PTWE35;2023;44;10;M2;0.0;12419.439999999999
PTWE35;2023;44;10;M8;0.0;4875.112
PTWE35;2023;44;10;RM2400;0.0;1837.5
PTWE35;2023;44;10;RM4500;0.0;616.0
PTWE35;2023;45;11;F3B;0.0;1173.1
PTWE35;2023;45;11;F4B;0.0;3672.0
PTWE35;2023;45;11;M1;0.0;8109.76
PTWE35;2023;45;11;M2;0.0;15121.04
PTWE35;2023;45;11;M3;0.0;2531.76
PTWE35;2023;45;11;M8;0.0;10353.464
PTWE35;2023;45;11;RM2400;0.0;4170.0
PTWE35;2023;45;11;RM4500;0.0;2949.76
PTWE35;2023;46;11;F3B;0.0;1741.0
PTWE35;2023;46;11;F4B;0.0;3413.75
PTWE35;2023;46;11;FB;0.0;684.0
PTWE35;2023;46;11;M1;0.0;4213.92
PTWE35;2023;46;11;M2;0.0;10897.92
PTWE35;2023;46;11;M3;0.0;10247.6
PTWE35;2023;46;11;M8;0.0;12813.36
PTWE35;2023;46;11;RM2400;0.0;3757.5
PTWE35;2023;46;11;RM4500;0.0;704.0
PTWE35;2023;47;11;F3B;0.0;1874.1
PTWE35;2023;47;11;F4B;0.0;2742.172
PTWE35;2023;47;11;M1;0.0;2210.72
PTWE35;2023;47;11;M2;39859.05;7983.36
PTWE35;2023;47;11;M3;0.0;8439.2
PTWE35;2023;47;11;M8;0.0;7089.28
PTWE35;2023;47;11;RM2400;0.0;2739.0
PTWE35;2023;47;11;RM4500;10602.900000000001;2421.76
PTWE35;2023;48;11;F3B;0.0;3008.95
PTWE35;2023;48;11;F4B;0.0;3660.0
PTWE35;2023;48;11;FB;0.0;944.0
