Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;22;5;RM2400;0.0;4065.0
PTWE35;2023;22;5;RM4500;0.0;9349.119999999999
PTWE35;2023;23;6;F3B;0.0;3317.5
PTWE35;2023;23;6;F4B;0.0;3482.755
PTWE35;2023;23;6;FB;0.0;574.0
PTWE35;2023;23;6;M1;0.0;12202.08
PTWE35;2023;23;6;M2;0.0;12291.84
PTWE35;2023;23;6;M3;0.0;12056.0
PTWE35;2023;23;6;M8;0.0;15485.448
PTWE35;2023;23;6;RM2400;0.0;4200.0
PTWE35;2023;23;6;RM4500;0.0;4741.4400000000005
PTWE35;2023;24;6;F3B;0.0;3322.05
PTWE35;2023;24;6;F4B;0.0;3811.02
PTWE35;2023;24;6;FB;0.0;647.0
PTWE35;2023;24;6;M1;0.0;11696.08
PTWE35;2023;24;6;M2;0.0;12672.0
PTWE35;2023;24;6;M3;0.0;12176.560000000001
PTWE35;2023;24;6;M8;0.0;11867.24
PTWE35;2023;24;6;RM2400;0.0;4582.5
PTWE35;2023;24;6;RM4500;0.0;6698.5599999999995
PTWE35;2023;25;6;F3B;0.0;1594.6
PTWE35;2023;25;6;F4B;0.0;2830.44
PTWE35;2023;25;6;FB;0.0;874.0
PTWE35;2023;25;6;M1;0.0;9223.28
PTWE35;2023;25;6;M2;0.0;9377.279999999999
PTWE35;2023;25;6;M3;0.0;9042.0
PTWE35;2023;25;6;M8;0.0;9976.384
PTWE35;2023;25;6;RM2400;0.0;3639.0
PTWE35;2023;25;6;RM4500;0.0;1408.0
PTWE35;2023;26;6;F3B;0.0;1013.06
PTWE35;2023;26;6;F4B;0.0;3743.7
PTWE35;2023;26;6;M1;0.0;8449.592
PTWE35;2023;26;6;M2;0.0;12291.84
PTWE35;2023;26;6;M3;0.0;10488.72
PTWE35;2023;26;6;M8;0.0;10197.856
PTWE35;2023;26;6;RM2400;0.0;5238.8
PTWE35;2023;26;6;RM4500;0.0;3569.2799999999997
PTWE35;2023;27;7;F3B;0.0;1159.69
PTWE35;2023;27;7;F4B;0.0;5088.96
PTWE35;2023;27;7;FB;0.0;1774.0
PTWE35;2023;27;7;M1;0.0;16556.32
PTWE35;2023;27;7;M2;0.0;16980.48
PTWE35;2023;27;7;M3;0.0;15311.12
PTWE35;2023;27;7;M8;0.0;18151.848
PTWE35;2023;27;7;RM2400;0.0;6455.0
PTWE35;2023;27;7;RM4500;0.0;8585.279999999999
PTWE35;2023;28;7;F4B;0.0;2733.63
PTWE35;2023;28;7;FB;0.0;628.0
PTWE35;2023;28;7;M1;0.0;8563.52
PTWE35;2023;28;7;M2;0.0;10010.88
PTWE35;2023;28;7;M3;0.0;9042.0
PTWE35;2023;28;7;M8;0.0;8960.6
PTWE35;2023;28;7;RM2400;0.0;3525.0
PTWE35;2023;28;7;RM4500;0.0;6987.199999999999
PTWE35;2023;29;7;F3B;0.0;2027.8
