Site;Machine;Date;PE (kg)
PTWE35;F3B;2024-05-22;354.83
PTWE35;F3B;2024-05-23;384.23
PTWE35;F3B;2024-05-24;384.23
PTWE35;F3B;2024-05-27;126.67
PTWE35;F3B;2024-05-28;136.93
PTWE35;F3B;2024-05-29;208.63
PTWE35;F3B;2024-05-30;200.31
PTWE35;F3B;2024-05-31;217.63
PTWE35;F3B;2024-06-01;104.68
PTWE35;F3B;2024-06-11;14.0
PTWE35;F3B;2024-06-12;32.0
PTWE35;F3B;2024-06-13;8.0
PTWE35;F3B;2024-06-19;3.6
PTWE35;F3B;2024-07-09;51.6
PTWE35;F3B;2024-07-10;284.95
PTWE35;F3B;2024-07-11;146.6
PTWE35;F3B;2024-07-12;190.5
PTWE35;F3B;2024-07-16;16.0
PTWE35;F3B;2024-07-17;600.55
PTWE35;F3B;2024-07-18;360.0
PTWE35;F3B;2024-07-19;358.6
PTWE35;F3B;2024-07-22;270.0
PTWE35;F3B;2024-07-23;341.5
PTWE35;F3B;2024-07-24;198.75
PTWE35;F3B;2024-07-25;390.85
PTWE35;F3B;2024-07-29;151.8
PTWE35;F3B;2024-07-30;281.85
PTWE35;F3B;2024-07-31;62.5
PTWE35;F3B;2024-08-01;66.6
PTWE35;F3B;2024-08-02;72.4
PTWE35;F3B;2024-08-27;162.0
PTWE35;F3B;2024-08-28;334.55
PTWE35;F3B;2024-08-29;323.7
PTWE35;F3B;2024-08-30;327.8
PTWE35;F3B;2024-08-31;278.5
PTWE35;F3B;2024-09-03;228.05
PTWE35;F3B;2024-09-04;242.75
PTWE35;F3B;2024-09-05;252.15
PTWE35;F3B;2024-09-06;252.15
PTWE35;F3B;2024-09-09;216.1
PTWE35;F3B;2024-09-10;163.5
PTWE35;F3B;2024-09-11;313.65
PTWE35;F3B;2024-09-12;341.4
PTWE35;F3B;2024-09-13;341.4
PTWE35;F3B;2024-09-16;312.95
PTWE35;F3B;2024-09-17;164.7
PTWE35;F3B;2024-09-18;137.25
PTWE35;F3B;2024-09-19;157.5
PTWE35;F3B;2024-09-20;136.25
PTWE35;F3B;2024-09-23;136.25
PTWE35;F3B;2024-09-24;138.9
PTWE35;F3B;2024-09-25;144.6
PTWE35;F3B;2024-09-26;138.9
PTWE35;F3B;2024-09-27;138.9
PTWE35;F3B;2024-09-30;92.6
PTWE35;F3B;2024-10-01;177.3
PTWE35;F3B;2024-10-02;177.3
PTWE35;F3B;2024-10-03;177.3
PTWE35;F3B;2024-10-04;177.3
PTWE35;F3B;2024-10-05;118.2
PTWE35;F3B;2024-10-08;135.9
PTWE35;F3B;2024-10-09;135.9
PTWE35;F3B;2024-10-10;135.9
PTWE35;F3B;2024-10-11;135.9
PTWE35;F3B;2024-10-14;113.25
PTWE35;F3B;2024-10-15;148.5
PTWE35;F3B;2024-10-16;148.5
PTWE35;F3B;2024-10-17;148.5
PTWE35;F3B;2024-10-18;148.5
PTWE35;F3B;2024-10-21;98.75
PTWE35;F3B;2024-10-22;178.5
PTWE35;F3B;2024-10-23;178.5
PTWE35;F3B;2024-10-24;178.5
PTWE35;F3B;2024-10-25;178.5
PTWE35;F4B;2023-01-04;531.25
PTWE35;F4B;2023-01-05;701.496
PTWE35;F4B;2023-01-06;794.592
PTWE35;F4B;2023-01-09;729.71
PTWE35;F4B;2023-01-10;703.25
PTWE35;F4B;2023-01-11;695.9
PTWE35;F4B;2023-01-12;761.55
PTWE35;F4B;2023-01-13;806.7
PTWE35;F4B;2023-01-16;718.05
PTWE35;F4B;2023-01-17;596.85
PTWE35;F4B;2023-01-18;706.25
PTWE35;F4B;2023-01-19;723.15
PTWE35;F4B;2023-01-20;753.8
PTWE35;F4B;2023-01-23;510.4
PTWE35;F4B;2023-01-24;412.0
PTWE35;F4B;2023-01-25;659.7
PTWE35;F4B;2023-01-26;627.5
PTWE35;F4B;2023-01-27;483.5
PTWE35;F4B;2023-01-31;482.5
PTWE35;F4B;2023-02-01;550.5
PTWE35;F4B;2023-02-02;714.0
PTWE35;F4B;2023-02-03;706.5
PTWE35;F4B;2023-02-06;645.0
PTWE35;F4B;2023-02-07;665.0
PTWE35;F4B;2023-02-08;764.0
PTWE35;F4B;2023-02-09;794.0
PTWE35;F4B;2023-02-10;745.2
PTWE35;F4B;2023-02-13;734.5
PTWE35;F4B;2023-02-14;659.5
PTWE35;F4B;2023-02-15;656.0
PTWE35;F4B;2023-02-16;293.0
PTWE35;F4B;2023-02-17;269.0
PTWE35;F4B;2023-02-20;465.0
PTWE35;F4B;2023-02-21;562.5
PTWE35;F4B;2023-02-22;808.2
PTWE35;F4B;2023-02-23;797.2
PTWE35;F4B;2023-02-24;653.6
PTWE35;F4B;2023-02-28;1430.16
PTWE35;F4B;2023-03-02;671.296
PTWE35;F4B;2023-03-03;976.344
PTWE35;F4B;2023-03-06;926.344
PTWE35;F4B;2023-03-07;2880.8
PTWE35;F4B;2023-03-08;1051.2
PTWE35;F4B;2023-03-09;902.7
PTWE35;F4B;2023-03-10;892.7
PTWE35;F4B;2023-03-13;888.6
PTWE35;F4B;2023-03-14;813.6
PTWE35;F4B;2023-03-15;946.2
PTWE35;F4B;2023-03-16;925.7
PTWE35;F4B;2023-03-17;927.7
PTWE35;F4B;2023-03-20;892.7
PTWE35;F4B;2023-03-21;430.6
PTWE35;F4B;2023-03-22;946.2
PTWE35;F4B;2023-03-23;936.6
PTWE35;F4B;2023-03-24;893.6
PTWE35;F4B;2023-03-28;872.1
PTWE35;F4B;2023-03-29;747.5
PTWE35;F4B;2023-03-30;872.1
PTWE35;F4B;2023-03-31;909.7
PTWE35;F4B;2023-04-01;768.7
PTWE35;F4B;2023-04-04;856.7
PTWE35;F4B;2023-04-05;778.9
PTWE35;F4B;2023-04-06;763.2
PTWE35;F4B;2023-04-07;823.2
PTWE35;F4B;2023-04-11;743.2
PTWE35;F4B;2023-04-12;742.0
PTWE35;F4B;2023-04-13;914.4
PTWE35;F4B;2023-04-14;782.4
PTWE35;F4B;2023-04-17;669.2
PTWE35;F4B;2023-04-18;682.6759999999999
PTWE35;F4B;2023-04-19;860.2239999999999
PTWE35;F4B;2023-04-20;860.2239999999999
PTWE35;F4B;2023-04-21;860.2239999999999
PTWE35;F4B;2023-04-24;761.208
PTWE35;F4B;2023-04-25;752.95
PTWE35;F4B;2023-04-26;813.9
PTWE35;F4B;2023-04-27;809.4
PTWE35;F4B;2023-04-28;699.5
PTWE35;F4B;2023-05-03;595.95
PTWE35;F4B;2023-05-04;667.9
PTWE35;F4B;2023-05-05;670.65
PTWE35;F4B;2023-05-09;441.0
PTWE35;F4B;2023-05-10;347.2
